ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01706E+13,5275486,-1,85,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Monday,Diary day was not a holiday
2.01706E+13,6592028,-1,50,Female,Some college but no degree,1,Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,26900,0,Blank,30,Friday,Diary day was not a holiday
2.01706E+13,8980412,-1,26,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,60,Tuesday,Diary day was not a holiday
2.01706E+13,6189848,-1,63,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,259615,0,Blank,40,Wednesday,Diary day was not a holiday
2.01706E+13,1.15E+07,-1,61,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,-1,0,Full time,45,Tuesday,Diary day was not a holiday
2.01706E+13,1.2E+07,-1,28,Male,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,Yes,Full time,No,Blank,No spouse or unmarried partner present,Blank,83076,0,Blank,50,Thursday,Diary day was not a holiday
2.01706E+13,1.45E+07,-1,30,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,207692,0,Full time,40,Thursday,Diary day was not a holiday
2.01706E+13,3111433,6,67,Male,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Employed,-1,1,Hours vary,-1,Sunday,Diary day was not a holiday
2.01706E+13,6258235,-1,80,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Thursday,Diary day was not a holiday
2.01706E+13,1.79E+07,-1,72,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Friday,Diary day was not a holiday
2.01706E+13,5653526,-1,51,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,105769,0,Blank,45,Sunday,Diary day was not a holiday
2.01706E+13,1.44E+07,-1,60,Female,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,103284,0,Full time,38,Thursday,Diary day was not a holiday
